Nistkasten-nummer,Datum,Zustand Kasten,gereinigt,besetzt,Anzahl Eier,Anzahl Jungvögel,Alter Jungvögel,Vogelart,beringt,Bemerkungen
400064,17-05-2012,in Ordnung,nein,ja,0,5,4,Kohlmeise,0,Weibchen beringt
400124,17-05-2012,in Ordnung,nein,ja,0,8,6,Kohlmeise,8,
400123,17-05-2012,in Ordnung,nein,ja,8,0, ,Blaumeise, ,Weibchen beringt
400122,17-05-2012,in Ordnung,nein,nein, , , , , ,Hornisse/Wespe
400138,17-05-2012,in Ordnung,nein,nein, , , , , ,
400137,17-05-2012,in Ordnung,nein,ja,3,4,8,Kohlmeise,4,
400130,17-05-2012,in Ordnung,nein,ja,6,0, ,Trauerschnäpper, ,Weibchen beringt
400136,17-05-2012,in Ordnung,nein,ja,5,0, ,Kohlmeise, ,
400131,17-05-2012,in Ordnung,nein,ja,0,8,3,Meise unbestimmt,0,
400135,17-05-2012,in Ordnung,nein,ja,0,5,3,Meise unbestimmt,0,
400132,17-05-2012,in Ordnung,nein,nein, , , , , ,
400129,17-05-2012,in Ordnung,nein,ja,8,0, ,Kohlmeise,0,Weibchen beringt
400128,17-05-2012,in Ordnung,nein,ja,1,6,8,Kohlmeise,6,
400127,17-05-2012,in Ordnung,nein,ja,0,11,12,Kohlmeise,11,
400041,17-05-2012,in Ordnung,nein,ja,13,0, ,Blaumeise, ,
400045,17-05-2012,in Ordnung,nein,ja,2,5,8,Blaumeise,5,Weibchen beringt
400193,17-05-2012,in Ordnung,nein,ja,7,3,5,Blaumeise,3,
400042,17-05-2012,in Ordnung,nein,ja,0,11,2,Blaumeise,0,Weibchen beringt
400126,17-05-2012,in Ordnung,nein,ja,0,0, ,unbestimmt, ,
400134,17-05-2012,in Ordnung,nein,ja,0,6,6,Kohlmeise,6,
400033,17-05-2012,in Ordnung,nein,nein, , , , , ,
400021,17-05-2012,in Ordnung,nein,nein, , , , , ,
400020,17-05-2012,in Ordnung,nein,nein, , , , , ,
400012,17-05-2012,in Ordnung,nein,ja,2,7,5,Blaumeise,7,
400023,17-05-2012,in Ordnung,nein,nein, , , , , ,
400225,17-05-2012,in Ordnung,nein,ja,0,10,15,Kohlmeise,10,
400226,17-05-2012,in Ordnung,nein,nein, , , , , ,Hornisse/Wespe
400227,17-05-2012,in Ordnung,nein,nein, , , , , ,
